Time,Lower Band,Upper Band,SMA
2020-10-01,-39735.4941,29546.7283,-5094.382899
2021-01-01,-17988.86224,54404.27301,18207.70538
2021-04-01,-48243.68411,27108.15909,-10567.76251
2021-07-01,-61738.19964,13627.55596,-24055.32184
2021-10-01,-29718.67306,46372.94263,8327.134783
2022-01-01,-30960.64908,45390.80844,7215.07968
2022-04-01,-45576.46314,31218.27237,-7179.095385
2022-07-01,-69460.81295,7683.548992,-30888.63198
2022-10-01,-26595.37285,50937.84288,12171.23501
2023-01-01,-15425.68382,62475.32162,23524.8189
2023-04-01,-87442.64777,-9166.805533,-48304.72665
2023-07-01,-50648.42375,27996.40221,-11326.01077
2023-10-01,-49060.78421,45363.21868,-1848.782764
2024-01-01,-30655.31138,63952.50572,16648.59717
2024-04-01,-65054.8741,31875.58008,-16589.64701
2024-07-01,-75026.64678,22280.93137,-26372.85771
2024-10-01,-42381.63586,55982.27013,6800.317135
2025-01-01,-43779.11213,55275.41633,5748.152099
2025-04-01,-62111.42146,37783.43861,-12163.99142
2025-07-01,-85156.45959,15498.6964,-34828.8816
2025-10-01,-41415.07328,60027.9139,9306.420312
2026-01-01,-31000.72184,71208.62918,20103.95367
2026-04-01,-107798.0771,-4820.991156,-56309.53413
2026-07-01,-63508.61009,40227.26557,-11640.67226
2026-10-01,-69033.48821,53886.0124,-7573.737907
2027-01-01,-48853.01638,74119.86755,12633.42559
2027-04-01,-82149.75033,44116.32269,-19016.71382
2027-07-01,-93619.18873,33382.91183,-30118.13845
2027-10-01,-61558.478,67105.78741,2773.654702
2028-01-01,-63216.46864,66616.82353,1700.177446
2028-04-01,-80559.74107,50639.58793,-14960.07657
2028-07-01,-104223.6675,28230.24707,-37996.71024
2028-10-01,-61114.63991,72626.42372,5755.891907
2029-01-01,-50746.43271,84249.03086,16751.29908
2029-04-01,-126154.8227,10092.89018,-58030.96625
2029-07-01,-84840.80236,52643.42736,-16098.6875
2029-10-01,-86951.87269,66738.93525,-10106.46872
2030-01-01,-67369.03823,86353.55495,9492.25836
2030-04-01,-101397.1017,55951.06702,-22723.01736
2030-07-01,-112629.018,45918.32224,-33355.3479
2030-10-01,-80697.35884,79970.51197,-363.4234386
2031-01-01,-82580.45542,79721.82219,-1429.316617
2031-04-01,-100597.1923,63527.06669,-18535.06279
2031-07-01,-124354.9951,41476.17638,-41439.40937
2031-10-01,-81332.65163,86231.40904,2449.378708
2032-01-01,-71255.23823,98003.98089,13374.37133
2032-04-01,-147461.7451,23484.99707,-61988.37399
2032-07-01,-105389.0404,67224.50797,-19082.26624
2032-10-01,-107944.1899,80393.84764,-13775.17111
2033-01-01,-88221.30283,100301.446,6040.071607
